Player,GO,Mediterranean Ave.,Community Chest,Baltic Ave.,Income Tax,Reading Railroad,Oriental Ave.,Chance,Vermont Ave.,Connecticut Ave.,Just Visiting Jail,St. Charles Place,Electric Company,States Ave.,Virginia Ave.,Pennsylvania Railroad,St. James Place,Community Chest,Tennessee Ave.,New York Ave.,Free Parking,Kentucky Ave.,Chance,Indiana Ave.,Illinois Ave.,B. & O. Railroad,Atlantic Ave.,Ventnor Ave.,Water Works,Marvin Gardens,Go to Jail,Pacific Ave.,North Carolina Ave.,Community Chest,Pennsylvania Ave.,Short Line Railroad,Chance,Park Place,Luxury Tax,Boardwalk,Jail,GO,Mediterranean Ave.,Community Chest,Baltic Ave.,Income Tax,Reading Railroad,Oriental Ave.,Chance,Vermont Ave.,Connecticut Ave.,Just Visiting Jail,St. Charles Place,Electric Company,States Ave.,Virginia Ave.,Pennsylvania Railroad,St. James Place,Community Chest,Tennessee Ave.,New York Ave.,Free Parking,Kentucky Ave.,Chance,Indiana Ave.,Illinois Ave.,B. & O. Railroad,Atlantic Ave.,Ventnor Ave.,Water Works,Marvin Gardens,Go to Jail,Pacific Ave.,North Carolina Ave.,Community Chest,Pennsylvania Ave.,Short Line Railroad,Chance,Park Place,Luxury Tax,Boardwalk,Jail,GO,Mediterranean Ave.,Community Chest,Baltic Ave.,Income Tax,Reading Railroad,Oriental Ave.,Chance,Vermont Ave.,Connecticut Ave.,Just Visiting Jail,St. Charles Place,Electric Company,States Ave.,Virginia Ave.,Pennsylvania Railroad,St. James Place,Community Chest,Tennessee Ave.,New York Ave.,Free Parking,Kentucky Ave.,Chance,Indiana Ave.,Illinois Ave.,B. & O. Railroad,Atlantic Ave.,Ventnor Ave.,Water Works,Marvin Gardens,Go to Jail,Pacific Ave.,North Carolina Ave.,Community Chest,Pennsylvania Ave.,Short Line Railroad,Chance,Park Place,Luxury Tax,Boardwalk,Jail,Brown,Light Blue,Pink,Orange,Red,Yellow,Green,Blue,Utilities,Railroads
0,6,4,3,7,4,6,4,11,6,2,5,4,10,6,3,8,9,0,4,5,8,7,4,5,5,9,8,5,5,2,3,6,7,6,6,4,4,8,2,4,7,0,4,0,4,0,0,1,0,1,3,0,0,2,0,2,0,2,0,2,2,0,3,0,2,2,0,0,0,2,1,0,2,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,12,0,12,16,0,0,324,0,24,0,42,0,14,16,0,72,0,36,40,100,0,0,300,48,0,52,0,0,0,0,0,70,0,0,0,0,40,24,72,148,48,52,70,624,100
1,8,6,2,13,10,5,7,10,7,11,8,6,10,12,10,6,14,12,6,8,16,6,7,9,7,7,10,7,17,8,4,9,12,10,6,3,10,13,2,9,13,0,6,0,6,0,0,6,0,7,7,0,8,1,9,9,1,3,0,2,1,0,1,0,2,2,0,4,1,2,2,0,3,1,0,2,0,0,8,0,9,0,0,1000,0,2728,0,0,0,0,1740,716,0,1500,0,2685,12,0,70,0,0,0,0,18,0,36,0,0,286,88,32,120,0,260,0,0,84,0,0,1850,0,650,0,3728,2456,4197,70,54,494,344,2500,32,0
2,13,5,5,7,15,7,7,13,15,4,14,9,10,7,8,15,6,11,10,5,8,13,6,9,11,11,8,7,14,13,6,6,5,9,9,7,5,10,8,9,4,0,3,0,4,0,3,13,0,12,12,0,3,3,0,4,4,1,0,2,0,0,7,0,8,9,4,3,2,4,3,0,0,1,0,4,4,0,6,0,8,0,0,2,0,4,0,700,1100,0,3026,1808,0,130,496,0,0,1025,0,0,0,0,0,1516,0,3048,780,1925,0,0,650,120,0,0,52,0,84,900,0,5800,0,0,0,6,5934,130,0,5344,120,136,5800,1146,4550
3,8,6,2,2,8,5,3,13,1,7,4,8,8,6,2,8,10,13,8,3,4,3,10,11,7,10,4,8,6,3,10,9,7,6,7,4,5,2,9,9,18,0,6,0,6,0,1,6,0,6,6,0,2,2,2,1,1,11,0,10,10,0,2,0,2,0,1,1,5,2,0,0,4,5,0,5,1,0,2,0,3,0,0,1000,0,450,0,1000,580,0,2200,0,0,10,178,20,0,1225,168,0,978,1048,0,18,0,36,0,800,0,132,172,0,0,130,182,0,0,0,0,35,0,100,0,1450,2780,30,2194,54,132,312,135,350,3025
