Player,Street Name,Times Landed On,Land Stage,Land Wealth,Township Wealth
3,Community Chest,22616,0,0
3,Tennessee Ave.,24234,7776,1207994
3,New York Ave.,24272,7768,1357556
3,Free Parking,23344,0,0
3,Kentucky Ave.,22103,6283,680426
3,Chance,23049,0,0
3,Indiana Ave.,21402,6229,671565
3,Illinois Ave.,25278,6372,827590
3,B. & O. Railroad,23106,3478,1181525
3,Atlantic Ave.,21335,5873,646330
3,Ventnor Ave.,21114,5947,596867
3,Water Works,22181,3405,558046
3,Marvin Gardens,20350,5793,659329
3,Go to Jail,20592,0,0
3,Pacific Ave.,20962,4959,414085
3,North Carolina Ave.,20389,4920,401671
3,Community Chest,20807,0,0
3,Pennsylvania Ave.,19367,4833,424986
3,Short Line Railroad,18876,3260,991775
3,Chance,17949,0,0
3,Park Place,17068,6354,1208405
3,Luxury Tax,17057,0,0
3,Boardwalk,20609,6500,1936050
3,Jail,36589,0,0
